BELLAVISTA	BELLAVISTA	VAINILLA	0726265	0	0266 MIGUEL GRAU SEMINARIO	B0 - Primaria
BELLAVISTA	SAN PABLO	YACUSISA	0726273	0	0267	B0 - Primaria
BELLAVISTA	BELLAVISTA	VICTOR RAUL HAYA DE LA TORRE	0760850	0	0482 CIRO SALDAÑA GIRALDO	B0 - Primaria
BELLAVISTA	SAN PABLO	SAN IGNACIO	0760892	0	0485 IGNACIO ISUIZA SANANCINA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	VISTA ALEGRE	0761155	0	0489 JORGE CHAVEZ DARNELL	B0 - Primaria
BELLAVISTA	BAJO BIAVO	PUERTO NUEVO	0761163	0	0488 CARLOS CUETO FERNANDINI	B0 - Primaria
BELLAVISTA	SAN PABLO	DOS UNIDOS	0789560	0	0045	B0 - Primaria
BELLAVISTA	BAJO BIAVO	YANAYACU	0789628	0	0044	B0 - Primaria
BELLAVISTA	BAJO BIAVO	LA PERLA DE PONACILLO	0789651	0	0048	B0 - Primaria
BELLAVISTA	SAN RAFAEL	CARHUAPOMA	0829192	0	0049 INMACULADA CONCEPCION	B0 - Primaria
BELLAVISTA	SAN RAFAEL	SANTA CATALINA	0829226	0	0047 JESUS EL BUEN MAESTRO	B0 - Primaria
BELLAVISTA	SAN PABLO	FAUSA LAMISTA	0829259	0	0306 JOSE SANTOS CHOCANO GASTANODI	B0 - Primaria
BELLAVISTA	SAN PABLO	NUEVA FLORES	0829283	0	0042 HUMBERTO DEL AGUILA ARRIEGA	B0 - Primaria
BELLAVISTA	SAN PABLO	FAUSA SAPINA	0829317	0	0174	B0 - Primaria
BELLAVISTA	SAN PABLO	SHAMBOYACU	0829341	0	0213 PASCUAL SANGAMA VALLES	B0 - Primaria
BELLAVISTA	SAN PABLO	HUINGOYACU	0829374	0	0176	B0 - Primaria
BELLAVISTA	SAN PABLO	EL CARIBE	0847129	0	0014 CORONEL LEONCIO PRADO	B0 - Primaria
BELLAVISTA	SAN PABLO	SANTA VICTORIA	0847152	0	0046 JOSE DE LA TORRE UGARTE	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO TRUJILLO	1018555	0	0001 ALBERTO UPIACHIHUA PUYO	B0 - Primaria
BELLAVISTA	ALTO BIAVO	LOS ANGELES	1018597	0	0003 ELEAZAR FASABI ZATALAYA	B0 - Primaria
BELLAVISTA	SAN PABLO	SAN PABLO	1019082	0	0016 JOSE GABRIEL CONDORCANQUI	B0 - Primaria
BELLAVISTA	BAJO BIAVO	LOS OLIVOS	1205061	0	0647	B0 - Primaria
BELLAVISTA	ALTO BIAVO	ISRAEL URIARTE	1238294	0	0002	B0 - Primaria
BELLAVISTA	ALTO BIAVO	BELLO HORIZONTE	1238658	0	0008 JULIO RAMON RIBEYRO	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO CHOTALO	1238815	0	0007	B0 - Primaria
BELLAVISTA	ALTO BIAVO	SAN JUAN DE SHITARI	1384924	0	0721	B0 - Primaria
BELLAVISTA	ALTO BIAVO	ALMENDRAS	1384932	0	0718	B0 - Primaria
BELLAVISTA	BAJO BIAVO	LOS ANGELES	1400894	0	0080	B0 - Primaria
BELLAVISTA	BELLAVISTA	NUEVO TACABAMBA	1411131	0	0719 SAN ANTONIO DE PADUA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	LA ESPERANZA DEL TIOYACU	1411149	0	0720	B0 - Primaria
BELLAVISTA	BELLAVISTA	RAMIRO PRIALE	1412154	0	0722 NUEVO AMANECER	B0 - Primaria
BELLAVISTA	SAN PABLO	NUEVA ESPERANZA	1412162	0	0723	B0 - Primaria
BELLAVISTA	ALTO BIAVO	SELVA ANDINA	1412170	0	01367	B0 - Primaria
BELLAVISTA	ALTO BIAVO	PLANTANILLO	1412188	0	0725	B0 - Primaria
BELLAVISTA	ALTO BIAVO	EL TRIUNFO	1412196	0	0726	B0 - Primaria
BELLAVISTA	ALTO BIAVO	PUENTE JUANITA	1412204	0	0727 INTERCULTURAL BILINGUE	B0 - Primaria
BELLAVISTA	SAN RAFAEL	CARHUAPOMA	1576537	0	CORPUS CHRISTE	B0 - Primaria
BELLAVISTA	BAJO BIAVO	NUEVO LIMA	1591361	0	0780	B0 - Primaria
BELLAVISTA	BAJO BIAVO	NUEVO ORIENTE	1591403	0	0751	B0 - Primaria
BELLAVISTA	BAJO BIAVO	SAN JUAN	1591502	0	0779	B0 - Primaria
BELLAVISTA	BAJO BIAVO	EL PORVENIR	1591601	0	0781	B0 - Primaria
BELLAVISTA	ALTO BIAVO	ALTO YANAYACU	1592526	0	0732 JOSE DEL CARMEN MARIN ARISTA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	LAS PALMAS	1593268	0	0688	B0 - Primaria
BELLAVISTA	SAN PABLO	NUEVO SAN LORENZO	1593292	0	0690 PEDRO VILCA APAZA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	LOS CEDROS	1593318	0	0714 CIRO ALEGRIA BAZAN	B0 - Primaria
BELLAVISTA	ALTO BIAVO	EL CHALLUAL	1593326	0	0689	B0 - Primaria
BELLAVISTA	ALTO BIAVO	MIRAFLORES	1593334	0	0716 MICAELA BASTIDAS	B0 - Primaria
BELLAVISTA	ALTO BIAVO	RAMON CASTILLA	1593391	0	0717 GILBERTO SATALAYA TUANAMA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	FLOR DE CAFE	1656453	0	477	B0 - Primaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	1757509	0	SANTA MARIA GORETTI	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO PROGRESO	1758747	0	1322	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO JAEN	1758754	0	1250	B0 - Primaria
BELLAVISTA	ALTO BIAVO	LOS CLAVELES	1758762	0	1252	B0 - Primaria
BELLAVISTA	ALTO BIAVO	ALTO PARAISO	1759638	0	1164	B0 - Primaria
BELLAVISTA	ALTO BIAVO	FLOR DE VALLE	1760495	0	1320	B0 - Primaria
BELLAVISTA	BAJO BIAVO	VALPARAISO	1782986	0	01360	B0 - Primaria
BELLAVISTA	ALTO BIAVO	SAN JUAN DE MIRAFLORES	1782994	0	01361	B0 - Primaria
BELLAVISTA	ALTO BIAVO	CIELITO LINDO	3048162	0	1374 EDGAR ANTONIO CHAVEZ GIL	B0 - Primaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	0273557	0	0050 ABRAHAM CARDENAS RUIZ	F0 - Secundaria
BELLAVISTA	SAN RAFAEL	SAN RAFAEL	0537183	0	0005 DANIEL ALCIDES CARRION	F0 - Secundaria
BELLAVISTA	SAN PABLO	SAN PABLO	0537282	0	0016 JOSE GABRIEL CONDORCANQUI	F0 - Secundaria
BELLAVISTA	SAN PABLO	CONSUELO	0537381	0	0029 JUAN VELASCO ALVARADO	F0 - Secundaria
